nome,municipio,telefone,email
CANTINHO DA CRIANCA EMEI CICLO I,ADAMANTINA,(018) 0000000-0000 / (018) 0003522-4016,
CARLOS BUENO PROF EMEF,LUCELIA,(018) 0000000-0000 / (018) 0003551-3303,ESCOLACARLOSBUENO@GMAIL.COM
CARMEN NAPOLI DE CASTRO PROFA EMEF,OSVALDO CRUZ,(018) 0000000-0000 / (018) 0003528-2219,CARMENNAPOLI@ITELEFONICA.COM.BR
CASIMIRA NASCIMENTO DA SILVA PROFA EMEF,MONTE CASTELO,(000) 0003855-1160 / (000) 0003855-7001,EMEFCASIMIRA@HOTMAIL.COM
CASTELLO BRANCO PRESIDENTE EM,SANTA MERCEDES,(018) 0003875-1200 / (018) 0003875-1338,PCASTELLOBRANCO@HOTMAIL.COM
CENTRO DE EDUCACAO E ESPECIAL E REABILITACAO,OURO VERDE,(018) 0000000-0000 / (018) 0003872-1222,ESPECIAL_1056@HOTMAIL.COM
CENTRO EDUCACIONAL INFANTIL RAIO DE LUZ,JUNQUEIROPOLIS,(018) 0000000-0000 / (018) 0003841-2862,RAIODELUZJUNQUEIROPOLIS@GMAIL.COM
COMECINHO DE VIDA CRECHE MUNICIPAL,SALMOURAO,(018) 0000000-0000 / (018) 0003557-1290,COMECINHO211.DEVIDA@GMAIL.COM
CRECHE CRIANCA FELIZ,DRACENA,(018) 0000000-0000 / (018) 0003839-1230,EMEICRIANCAFELIZ70@GMAIL.COM
CRECHE ESCOLA MUNICIPAL CARROSSEL,OURO VERDE,(018) 0000000-0000 / (018) 0003872-1631,CRECHECARROSSEL@HOTMAIL.COM
CRECHE MUNICIPAL PROFESSORA MARIA YVONNE DE OLIVEIRA FROIO,FLORIDA PAULISTA,(000) 0000000-0000 / (000) 0003581-2122,SECRETARIA.FLORIDAPTA@GMAIL.COM
CRECHE MUNICIPAL PROINFANCIA VALDEMIR MAGNANI,MARIAPOLIS,(018) 0000000-0000 / (018) 0003586-1132,CRECHE.MARIAPOLIS@HOTMAIL.COM
CRIANCA ESPERANCA EM,NOVA GUATAPORANGA,(000) 0003586-1171 / (000) 0003856-1171,EDUCACAO@NOVAGUATAPORANGA.SP.GOV.BR
CRIANCA FELIZ CENTRO EDUCACIONAL INFANTIL,JUNQUEIROPOLIS,(018) 0000000-0000 / (018) 0003841-3169,CEICRIANCAFELIZJUNQUEIROPOLIS@HOTMAIL.COM
CRIANCA FELIZ CRECHE MUNICIPAL,NOVA GUATAPORANGA,(018) 0000000-0000 / (018) 0099721-5113,CRECHE@NOVAGUATAPORANGA.SP.GOV.BR
CRIANCA FELIZ EMEI,FLORIDA PAULISTA,(018) 0003581-1331 / (018) 0003581-2122,EMEIFP@GMAIL.COM
CRIANCA FELIZ EMEI CICLO I,ADAMANTINA,(018) 0000000-0000 / (018) 0003522-4014,
CRISTO REDENTOR CENTRO EDUCACIONAL INFANTIL,JUNQUEIROPOLIS,(000) 0000000-0000 / (000) 0003841-1911,
DOMINGOS LATINE EMEI CICLO II,ADAMANTINA,(018) 0000000-0000 / (018) 0003522-4013,
EMEF PROFESSOR WAGNER CAMPATO,INUBIA PAULISTA,(018) 0000000-0000 / (018) 0003556-1155,EMEFPAULISTAMUNICIPAL@BOL.COM.BR
EMEI AKIKO KUABARA OKAJI,PANORAMA,(018) 0000000-0000 / (018) 0003871-9091,EDUCACAOPANORAMA@HOTMAIL.COM
EMEI GOTA DE LEITE,SANTA MERCEDES,(018) 0000000-0000 / (018) 0003875-4161,CRECHEPPSM@HOTMAIL.COM
EMEI PROFESSORA MAGDA TONELLO PEDRO LEMOS,DRACENA,(018) 0000000-0000 / (018) 0003821-6742,EMEIMAGDATONELLO@DRACENA.SP.GOV.BR
EMILIA DIOGO AMARAL PROFA EM,TUPI PAULISTA,(018) 0000000-0000 / (018) 0003851-1228,ESCOLAEMILIATP@GMAIL.COM
ESCOLA MUNICIPAL DE ED INFANTIL MONTEIRO LOBATO,ADAMANTINA,(000) 0000000-0000,
ESCOLA MUNICIPAL DE EDUCACAO INFANTIL CECILIA MEIRELES,ADAMANTINA,(000) 0000000-0000 / (000) 0099795-3237,EMEICECILIA.MEIRELES@ADAMANTINA.SP.GOV.BR
ESCOLA MUNICIPAL DE EDUCACAO INFANTIL PRIMEIROS PASSOS,SANTA MERCEDES,(018) 0000000-0000 / (018) 0003875-1221,CRECHEPPSM@HOTMAIL.COM
ESCOLA MUNICIPAL DE EDUCACAO INFANTIL SEILA DARCI BASTAZINI DELGADO,IRAPURU,(018) 0003861-0301 / (018) 0003861-2007,EMEFEIRAPURU@HOTMAIL.COM
ESCOLA MUNICIPAL DE ENSINO INFANTIL STELA MARIA DUTRA PINTO,LUCELIA,(018) 0000000-0000 / (018) 0003551-3199,EMEISTELAMARIA@GMAIL.COM
EULALIA PASCHOAL BRIGHENTI PROFA EMEI CICLO II,ADAMANTINA,(018) 0000000-0000 / (018) 0099754-9157,EMEIEULALIA@ADAMANTINA.SP.GOV.BR
EUNICE MARIS PROFA EMEI CICLO II,ADAMANTINA,(018) 0003522-0390 / (018) 0003522-4050,EUNICEMARIS@ADAMANTINA.SP.GOV.BR
EURICO LEITE DE MORAIS PROF EMEF,ADAMANTINA,(000) 0000000-0000 / (000) 0003521-4699,EURICO@ADAMANTINA.SP.GOV.BR
FLORIDA PAULISTA CRECHE MUNICIPAL,FLORIDA PAULISTA,(018) 0003581-1393 / (018) 0003581-2122,CRECHEMUNICIPALFP@OUTLOOK.COM
FRANCISCA DASSI DE PIERI PROFA EM,OSVALDO CRUZ,(000) 0000000-0000 / (000) 0003528-0408,ESCRITURACAO_EDUCACAO@OSVALDOCRUZ.SP.GOV.BR
FRANCISCA PARDO SALATA PROFA CENTRO DE EDUCACAO,PACAEMBU,(018) 0000000-0000 / (018) 0003862-1985,CEIPARDOSALATA@PACAEMBU.SP.GOV.BR
FRANCISCO BACELAR NETO PROF CEI,PACAEMBU,(018) 0000000-0000 / (018) 0003862-1291,CEIBACELARNETO@PACAEMBU.SP.GOV.BR
GENI SOARES DE MORAES DE LIMA CRECHE MUNICIPAL,FLORIDA PAULISTA,(018) 0000000-0000 / (018) 0003581-4145,
GENY BARBOSA GENOVEZ PROFA ESCOLA MUNICIPAL,TUPI PAULISTA,(018) 0000000-0000 / (018) 0003851-4474,ESCOLAGENY@HOTMAIL.COM
GETULIO VARGAS DR EMEF,OSVALDO CRUZ,(018) 0000000-0000 / (018) 0003528-1469,
GILBERTO BARROS EMEI,PAULICEIA,(018) 0003876-1261 / (018) 0099754-5210,EMEIGILBERTO@PAULICEIA.SP.GOV.BR
GUILHERME TAMMERICK EMEFI,DRACENA,(018) 0000000-0000 / (018) 0003822-2199,EMEFI-GT@DRACENA.SP.GOV.BR
HOLANDA ZOCATELLI BENITO CRECHE E PRE ESCOLA,OSVALDO CRUZ,(000) 0000000-0000 / (000) 0003529-8004,EDUCACAO.OC@HOTMAIL.COM
IDOLO GUASTALDI EM,PANORAMA,(000) 0000000-0000 / (000) 0003871-9091,EDUCACAOPANORAMA@HOTMAIL.COM
INAH MAGOSSO MARTINELLI PROFA EMEI,LUCELIA,(018) 0000000-0000 / (018) 0003551-3300,CRECHEINAH@GMAIL.COM
INUBIA PAULISTA CRECHE E CENTRO ORIENTACAO FAMILIAR,INUBIA PAULISTA,(018) 0003556-1188 / (018) 0003556-9900,CRECHEINUBIAPTA@HOTMAIL.COM
IZAURA SAMPAIO PROFA EMETF,DRACENA,(018) 0000000-0000 / (018) 0003821-2598,ESCOLATECNICADRACENA@HOTMAIL.COM
JAIR LUIZ DA SILVA PROF EM,JUNQUEIROPOLIS,(018) 0003841-2060 / (018) 0003841-2398,EDUCACAOJUNQUEIROPOLIS@GMAIL.COM
JOANA GELAMOS RUIZ CENTRO EDUCACIONAL INFANTIL,OSVALDO CRUZ,(018) 0000000-0000 / (018) 0003528-3747,
JOANINHA DONA EMEI,LUCELIA,(018) 0000000-0000 / (018) 0003551-1210,
JOAO MILAN BARBOSA VEREADOR EMEFI,DRACENA,(018) 0000000-0000 / (018) 0003822-4701,EMEFI-JM@DRACENA.SP.GOV.BR
JOAO VENDRAMINI EMEFI,DRACENA,(018) 0000000-0000 / (018) 0003821-1180,EMEFI-JV@DRACENA.SP.GOV.BR
JOSE CANDIDO DEPUTADO EMEI,LUCELIA,(000) 0003551-3303 / (000) 0003551-8713,ESCOLADEPUTADOJOSECANDIDO@GMAIL.COM
JOSE FRANCISCO FERREIRA DR EMEI,PACAEMBU,(018) 0000000-0000 / (018) 0003862-1542,CRIANCAEMEI@HOTMAIL.COM
JOSE MACKERT EMEF,ADAMANTINA,(018) 0000000-0000 / (018) 0003521-2930,TERUYO@ADAMANTINA.SP.GOV.BR
JULIA ROSEIRA JERONIMO PROFA EMEF,OURO VERDE,(018) 0000000-0000 / (018) 0003872-1282,JULIAROSEIRA353@HOTMAIL.COM
KEYLA MARIA GAZOLLA EMEI,PANORAMA,(000) 0003871-4411 / (000) 0003871-9091,EDCUCACAOPANORAMA@HOTMAIL.OM
LAR INFANTIL CRECHE,DRACENA,(018) 0000000-0000 / (018) 0003821-1716,EMEILARINFANTIL@GMAIL.COM
LEONIDAS RAMOS DE OLIVEIRA PROF EM,TUPI PAULISTA,(0) 0000000-0000,ESCOLALEO@HOTMAIL.COM
LOURDES PERES MARTINS PROFA EM,PANORAMA,(018) 0000000-0000 / (018) 0003871-9091,EDUCACAOPANORAMA@HOTMAIL.COM
LUIZ APARECIDO GIACOMAZZI CRECHE MUNICIPAL,PAULICEIA,(018) 0000000-0000 / (018) 0003876-1415,ROSEPANORAMA@HOTMAIL.COM
LUIZA ROSSA RIBEIRO PROFA EMEFI,DRACENA,(018) 0000000-0000 / (018) 0003821-1805,EMEFILUIZAROSSA@DRACENA.SP.GOV.BR
LUZIA HELENA FARIAS GALASSI PROFESSORA CRECHE,OSVALDO CRUZ,(000) 0000000-0000 / (000) 0003528-0321,
MANOEL TEIXEIRA JUNIOR EMEF,PACAEMBU,(018) 0000000-0000 / (018) 0003862-1234,EMEFMANOELTEIXEIRA@HOTMAIL.COM
MARIA APARECIDA COLTRI NICOLINO PROFA CRECHE,OSVALDO CRUZ,(018) 0000000-0000 / (018) 0003529-0258,
MARIA DE ASSIS GONCALVES EMEI,MONTE CASTELO,(018) 0000000-0000 / (018) 0009726-9361,PMMONTECASTELO@ABCREDE.COM.BR
MARIA DO CARMO DE MENEZES MENDONCA PROFA EMEF,LUCELIA,(018) 0000000-0000 / (018) 0003551-1154,MARIADOCARMO@LUCELIA.SP.GOV.BR
MARIA IGNES MESQUITA SERVA MOLON PROFA EMEI,PANORAMA,(018) 0000000-0000 / (018) 0003871-9091,EDUCACAOPANORAMA@HOTMAIL.COM
MARIA LUIZA DE OLIVEIRA SILVA EMEI,PANORAMA,(018) 0000000-0000 / (018) 0003871-9091,EDUCACAOPANORAMA@HOTMAIL.COM
MARIANA MILITAO RONDON PROFA EMEFEI,FLORIDA PAULISTA,(018) 0000000-0000 / (018) 0003581-4100,EMEFEIMARIANA@HOTMAIL.COM
MATSUO KOSHIYAMA PROF EM,MONTE CASTELO,(018) 0000000-0000 / (018) 0003855-7001,
MAX WIRTH EMEF,OSVALDO CRUZ,(018) 0000000-0000 / (018) 0003528-1350,WIRTH_MAX@HOTMAIL.COM
MOACIR SIMARDI PROF EMEFI,DRACENA,(018) 0000000-0000 / (018) 0003821-5261,EMEFI-MS@DRACENA.SP.GOV.BR
MUNDO ENCANTADO CRECHE MUNICIPAL,PRACINHA,(018) 0000000-0000 / (018) 0003552-1142,EMEFEI.PRACINHA@YAHOO.COM.BR
MUNDO PEQUENINO EMEI,SAO JOAO DO PAU D ALHO,(018) 0003857-1366 / (018) 0099627-2052,CRECHEMUNDOPEQUENINO@PAUDALHO.SP.GOV.BR
NANA NENE CRECHE,DRACENA,(018) 0000000-0000 / (018) 0003822-7715,EMEINANANENE@HOTMAIL.COM
NAVARRO DE ANDRADE EMEF,ADAMANTINA,(018) 0003521-2491 / (018) 0003521-3623,NAVARRO@ADAMANTINA.SP.GOV.BR
NELSON DE PAULA PROF EMEF,OURO VERDE,(018) 0000000-0000 / (018) 0003872-1400,EMEFNELSONDEPAULA@HOTMAIL.COM
NELSON MAGNANI EMEF,MARIAPOLIS,(018) 0000000-0000 / (018) 0003586-1252,EMEFNM@TERRA.COM.BR
NEUZA BERBEL BERNAVA PROFA EMEFEI,SAO JOAO DO PAU D ALHO,(018) 0003857-1160 / (018) 0003857-1255,EDUCACAO.PAUDALHO@GMAIL.COM
NEYDE MACEDO BRANDAO FERNANDES PROFA EM,JUNQUEIROPOLIS,(018) 0003841-1331 / (018) 0003841-2060,EDUCACAOJUNQUEIROPOLIS@GMAIL.COM
NITA TENORIO DE MELO CRECHE MUNICIPAL,PAULICEIA,(018) 0000000-0000 / (018) 0003876-1336,CRECHENITA@PAULICEIA.SP.GOV.BR
NOEMIA GONCALVES PEREIRA EMEI,INUBIA PAULISTA,(018) 0000000-0000 / (018) 0003556-1165,EMEFPAULISTAMUNICIPAL@BOL.COM.BR
NOSSO TETO CENTRO EDUCACIONAL INFANTIL,JUNQUEIROPOLIS,(000) 0000000-0000 / (000) 0003841-2500,CEINOSSOTETOJUNQUEIROPOLIS@HOTMAIL.COM
OCTAVIANO JOSE CORREA EMEF,FLORIDA PAULISTA,(000) 0003581-0333 / (000) 0003581-1251,EMEFOCTAVIANO@GMAIL.COM
OCTAVINA SANTANA CALVANO CRECHE,IRAPURU,(018) 0000000-0000 / (018) 0003861-2007,
OLGA ASSUMPCAO LIMA EMBOAVA PROFA EMEI,FLORA RICA,(018) 0003866-0214 / (018) 0003866-1113,EMEFEI.FLORARICA@HOTMAIL.COM
OPHELIA SCHIPA DE OLIVEIRA PROFA EM,PANORAMA,(018) 0000000-0000 / (018) 0003871-9091,EDUCACAOPANORAMA@HOTMAIL.COM
OTTILIA BRAZ NOGUEROL EMEFI,DRACENA,(018) 0000000-0000 / (018) 0003822-3337,EMEFI-ON@DRACENA.SP.GOV.BR
PEDRO LEITE RIBEIRO EMEF,IRAPURU,(000) 0003861-0303 / (000) 0003861-2007,EMEFPEDROLEITE@HOTMAIL.COM
PEQUENO POLEGAR EMEI CICLO I,ADAMANTINA,(018) 0000000-0000 / (018) 0003522-4012,PEQUENO.POLEGAR@ADAMANTINA.SP.GOV.BR
PEQUENO PRINCIPE EMEI CICLO I,ADAMANTINA,(018) 0003522-0537 / (018) 0003522-4018,PEQUENO.PRINCIPE@ADAMANTINA.SP.GOV.BR
PINTANDO O SETE CRECHE,DRACENA,(018) 0000000-0000 / (018) 0003821-3222,PINTANDOOSETE1@HOTMAIL.COM
RACHID MUSTAFA CEI,PACAEMBU,(000) 0000000-0000 / (000) 0003862-2498,CEIRACHIDMUSTAFA@PACAEMBU.SP.GOV.BR
RAIO DE SOL EMEI CICLO I,ADAMANTINA,(018) 0000000-0000 / (018) 0003522-4017,EMEIRAIODESOL@ADAMANTINA.SP.GOV.BR
RAQUIEL JANE MIRANDA EMEF,PAULICEIA,(018) 0000000-0000 / (018) 0003876-1289,RAQUIEL_JANEMIRANDA@HOTMAIL.COM
RENATA ALVES GUIMARAES RIBEIRO CRECHE MUNICIPAL,SAGRES,(018) 0000000-0000 / (018) 0003558-1207,EMEFPREFEITOATILIOSANI@BOL.COM.BR
RODOLFO ZAROS CRECHE,OSVALDO CRUZ,(000) 0000000-0000 / (000) 0003529-0270,
ROSA RUTH RUGGIA MARTINS PROFA EMEFI,OSVALDO CRUZ,(018) 0000000-0000 / (018) 0003528-1446,ROSARUTH@OSVALDOCRUZ.SP.GOV.BR
RUTE DE OLIVEIRA CASOTI PROFA EMEIF,MARIAPOLIS,(018) 0000000-0000 / (018) 0003586-1343,CRECHERUTE2019@GMAIL.COM
SANTA MERCEDES EMEI DE,SANTA MERCEDES,(018) 0000000-0000 / (018) 0003875-1200,PCASTELLOBRANCO@HOTMAIL.COM
SERGIO LIBERATTI PROF EMEFI,DRACENA,(018) 0000000-0000 / (018) 0003839-1130,EMEFI-SL@DRACENA.SP.GOV.BR
SHIGUEKO OTO IWAKI PROFA EM,JUNQUEIROPOLIS,(018) 0003841-1232 / (018) 0003841-2060,EDUCACAOJUNQUEIROPOLIS@GMAIL.COM
SOLEDADE DOMINGUES IGLESIA PROFA EMEF,LUCELIA,(018) 0003551-1625 / (018) 0003551-3199,ESCOLASOLEDADE@GMAIL.COM
SONHO DE CRIANCA CENTRO EDUCACIONAL INFANTIL,JUNQUEIROPOLIS,(018) 0000000-0000 / (018) 0003841-3389,CEISONHODECRIANCAJUNQUEIROPOLIS@HOTMAIL.COM
SONHO DE CRIANCA EMEI CICLO I,ADAMANTINA,(000) 0003522-0311 / (000) 0003522-3027,
SOSSEGO DA MAMAE EMEI,DRACENA,(018) 0000000-0000 / (018) 0003821-1488,EMEISOSSEGODAMAMAE@HOTMAIL.COM
STELA BOER MAIOLI EMEF,SALMOURAO,(018) 0003557-1144 / (018) 0003557-1297,SALMSECREDUC@GMAIL.COM
TEREZINHA ZANELLI PROFA EMEFEI,PRACINHA,(018) 0003552-1168 / (018) 0003552-1346,EMEFEI.PRACINHA@YAHOO.COM.BR
TERUYO KIKUTA PROFA EMEF,ADAMANTINA,(018) 0003521-2930 / (018) 0003522-3518,TERUYO@ADAMANTINA.SP.GOV.BR
VICENTE GUALTIERI DR CRECHE,OSVALDO CRUZ,(018) 0000000-0000 / (018) 0003528-0234,EDUCACAO.OC@HOTMAIL.COM
WALDOMIRO MACHADO PROF EMEFI,DRACENA,(018) 0000000-0000 / (018) 0003821-2588,EMEFI-WM@DRACENA.SP.GOV.BR
YAEKO SASAKI CRECHE,OSVALDO CRUZ,(000) 0000000-0000 / (000) 0003528-4700,
YONE FORTUNATO PERSIN CRECHE,OSVALDO CRUZ,(018) 0000000-0000 / (018) 0003528-0430,
AGILDO SILVA BORGES PROFESSOR CMEI,NOVA ODESSA,(019) 0003466-3988 / (019) 0003476-0521,CFELIZ@NOVAODESSA.SP.GOV.BR
ALMERINDA DELEGA DELBEN PROFESSORA EMEF,NOVA ODESSA,(019) 0003466-1777 / (019) 0003466-3017,ADDELBEN@NOVAODESSA.SP.GOV.BR
ALZIRA FERREIRA DELEGA PROFESSORA EMEF,NOVA ODESSA,(019) 0003466-2316 / (019) 0003476-0514,AFDELEGA@NOVAODESSA.SP.GOV.BR
ANAJA CRECHE MUNICIPAL,AMERICANA,(019) 0000000-0000 / (019) 0003462-6078,ANAJA.SEDUC@GMAIL.COM
ANALIA DE LUCCA FURLAN EMEFEI,SANTA BARBARA D OESTE,(019) 0003454-4310 / (019) 0003454-5660,EMEFEI.ANALIA@GMAIL.COM
ANGELICA SEGA TREMOCOLDI CIEP,SANTA BARBARA D OESTE,(019) 0003457-3832 / (019) 0003458-3579,CIEP.ANGELICA@SANTABARBARA.SP.GOV.BR
ANISIO SPINOLA TEIXEIRA PROFESSOR CIEP,AMERICANA,(019) 0003408-1311 / (019) 0003461-3317,SAOJERONIMO.SEDUC@GMAIL.COM
ANTONIA DAGMAR DE ALMEIDA ROSOLEN PROFESSORA EMEFEI,SANTA BARBARA D OESTE,(019) 0000000-0000 / (019) 0003454-4343,EMEFEI.ANTONIADAGMAR@SANTABARBARA.SP.GOV.BR
ANTONIO MOLLON EMEI,SANTA BARBARA D OESTE,(019) 0000000-0000 / (019) 0003458-1891,EMEI.ANTONIOMOLLON@SANTABARBARA.SP.GOV.BR
ARACARI EMEI,AMERICANA,(019) 0000000-0000 / (019) 0003468-6125,ARACARI.SEDUC@GMAIL.COM
ARACATI EMEI,AMERICANA,(019) 0000000-0000 / (019) 0003462-6173,ARACATI.SEDUC@GMAIL.COM
ARAUNA CASA DA CRIANCA,AMERICANA,(019) 0000000-0000 / (019) 0003407-5070,ARAUNA.SEDUC@GMAIL.COM
AUGUSTINA ADAMSON PAIVA PROFESSORA EMEFEI,NOVA ODESSA,(019) 0003466-7217 / (019) 0003476-0510,AAPAIVA@NOVAODESSA.SP.GOV.BR
AUGUSTO SCOMPARIN PROFESSOR EMEFEI,SANTA BARBARA D OESTE,(019) 0000000-0000 / (019) 0003463-3361,EMEFEI.AUGUSTO@SANTABARBARA.SP.GOV.BR
AUREA CHAN BATAGLIA PROFA EMEI,SANTA BARBARA D OESTE,(019) 0000000-0000 / (019) 0003458-2793,EMEI.AUREA@SANTABARBARA.SP.GOV.BR
BACURI EMEI,AMERICANA,(019) 0003405-0232 / (019) 0003462-5884,BACURI.SEDUC@GMAIL.COM
BATUIRA EMEI,AMERICANA,(019) 0000000-0000 / (019) 0003468-1073,BATUIRA.SEDUC@GMAIL.COM
CAIC CRECHE MUNICIPAL,AMERICANA,(019) 0000000-0000 / (019) 0003462-6074,CRECHECAIC.SEDUC@GMAIL.COM
CARANDA EMEI,AMERICANA,(019) 0000000-0000 / (019) 0003407-5081,CARANDA.SEDUC@GMAIL.COM
CARMELINA PELLEGRINO CERVONE CENTRO INTEG DE EDUC PUBLICA,SANTA BARBARA D OESTE,(019) 0000000-0000 / (019) 0003473-5471,CIEP.CARMELINA@SANTABARBARA.SP.GOV.BR
CASA DA CRIANCA ARACY,AMERICANA,(019) 0000000-0000 / (019) 0003462-6091,ARACY.SEDUC@GMAIL.COM
CASA DA CRIANCA ARAPIRANGA,AMERICANA,(019) 0000000-0000 / (019) 0003407-4905,ARAPIRANGA.SEDUC@GMAIL.COM
CASA DA CRIANCA BAETI,AMERICANA,(019) 0000000-0000 / (019) 0003462-6073,BAETI.SEDUC@GMAIL.COM
CASA DA CRIANCA CURIO,AMERICANA,(019) 0000000-0000 / (019) 0003469-2129,CURIO@EDUCAMERICANA.SP.GOV.BR
CECI EMEI,AMERICANA,(019) 0000000-0000 / (019) 0003462-4817,CECI.SEDUC@GMAIL.COM
CENTRO ED DE ATENCAO A ED ESP E ART ANTONIO DI JESUS BARBAN,SANTA BARBARA D OESTE,(019) 0000000-0000 / (019) 0003454-5667,ARTETERAPIA.BARBAN@SANTABARBARA.SP.GOV.BR
CENTRO EDUCACIONAL E DE CONVIVENCIA PARA JOVENS ADULTOS E IDOSOS DE SANTA BARBARA DOESTE,SANTA BARBARA D OESTE,(019) 0000000-0000 / (019) 0003455-0394,CEC.EDUCACAO@SANTABARBARA.SP.GOV.BR
CENTRO INTEGRAL DE EDUCACAO PUBLICA CHARLES KEESE DODSON,SANTA BARBARA D OESTE,(019) 0000000-0000 / (019) 0003455-2316,CIEP.CHARLES@SANTABARBARA.SP.GOV.BR
CENTRO MUNICIPAL DE  EDUCACAO INFANTIL PROFESSORA MARIA ESTELA DINIZ GAZZETTA,NOVA ODESSA,(019) 0000000-0000 / (019) 0003476-2449,CEMEIMARIAESTELA@NOVAODESSA.SP.GOV.BR
CHUI CRECHE MUNICIPAL,AMERICANA,(019) 0000000-0000 / (019) 0003461-3937,CHUI.SEDUC@GMAIL.COM
CLOTILDE TEIXEIRA CULLEN PROFESSORA EMEI,SANTA BARBARA D OESTE,(019) 0000000-0000 / (019) 0003457-3788,EMEI.CLOTILDE@SANTABARBARA.SP.GOV.BR
CMEI APPARECIDA RODRIGUES PRATA,NOVA ODESSA,(019) 0000000-0000 / (019) 0003466-6837,CEMEISAOFRANCISCO@NOVAODESSA.SP.GOV.BR
CMEI GRAZIOSO MARCHIORO,NOVA ODESSA,(019) 0003476-0610 / (019) 0003476-2777,JALVORADA@NOVAODESSA.SP.GOV.BR
CMEI MARIA JOSE FLAUZINO,NOVA ODESSA,(019) 0003466-2520 / (019) 0003476-0529,TCOELHO@NOVAODESSA.SP.GOV.BR
CMEI MERCEDES LADEIRA BRAZILINO,NOVA ODESSA,(019) 0003466-2759 / (019) 0003476-0515,BFLOR@NOVAODESSA.SP.GOV.BR
CORIMBO EMEI,AMERICANA,(019) 0000000-0000 / (019) 0003462-5086,CORIMBO.SEDUC@GMAIL.COM
CRECHE MUNICIPAL WANDA POLO MULLER,AMERICANA,(019) 0000000-0000 / (019) 0003405-4424,WANDA.SEDUC@GMAIL.COM
CRECHE TUPA,AMERICANA,(019) 0000000-0000 / (019) 0003407-7389,TUPA.SEDUC@GMAIL.COM
CUNHATHAI EMEI,AMERICANA,(019) 0000000-0000 / (019) 0003407-5083,CUNHATAI.SEDUC@GMAIL.COM.BR
CURIMA CRECHE MUNICIPAL,AMERICANA,(019) 0000000-0000 / (019) 0003468-3232,CURIMA.SEDUC@GMAIL.COM
CURUMIM EMEI,AMERICANA,(019) 0000000-0000 / (019) 0003465-1171,CURUMIM.SEDUC@GMAIL.COM
DARCY RIBEIRO EMEF,AMERICANA,(019) 0000000-0000 / (019) 0003462-2796,DARCY.SEDUC@GMAIL.COM
EDUARDO KOAIK DOM CENTRO INTEG DE ED PUBLICA,SANTA BARBARA D OESTE,(019) 0000000-0000 / (019) 0003455-2000,CIEP.DOMEDUARDO@SANTABARBARA.SP.GOV.BR
ELENI WHITEHEAD CENTRO MUNICIPAL DE EDUCACAO INFANTIL,NOVA ODESSA,(019) 0003476-2765 / (019) 0099822-9456,CMEIMARAJOARA@NOVAODESSA.SP.GOV.BR
ELVIRA VALENTE DIAS PROFESSORA EMEI,SANTA BARBARA D OESTE,(019) 0000000-0000 / (019) 0003458-8490,EMEI.ELVIRA@SANTABARBARA.SP.GOV.BR
EMEF PROFESSOR JONAS CORREA DE ARRUDA FILHO,AMERICANA,(019) 0003468-2568 / (019) 0003468-4363,JONASCORREA.SEDUC@GMAIL.COM
